address,clinic,phone,hours,services,website,rating
"Москва, Первомайская Нижн. ул, д. 43а (м.Измайловская,Первомайская)",АО «Семейный доктор»,т.:84957800771,пн-вс 08:00-21:00,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://www.fdoctor.ru/,5.0
"Москва, Профсоюзная ул, д.127б (м. Коньково,Тёплый Стан)",АО «Семейный доктор»,т.:84957800771,пн-вс 08:00-21:00,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://www.fdoctor.ru/,5.0
"Москва, Флотская ул, д.5а (м.Водный стадион,Речной вокзал)",АО «Семейный доктор»,т.:84957800771,пн-вс 08:00-21:00,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://www.fdoctor.ru/,5.0
"г Москва, ул Кременчугская, д.7, корп. 1 (м.Кунцевская,Славянский бульвар)","ГБУЗ ""ГП № 209 ДЗМ""",т.:84994450121,пн-пт 08:00-16:00,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://gp209.ru/,4.5
"г Москва, ул Мосфильмовская, д.29А (м.Ломоносовский проспект, Минская)","ГБУЗ ""ГП № 209 ДЗМ""",т.:84991475800,пн-пт 08:00-16:00,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://gp209.ru/,4.5
"г Москва, ул Раменки, д.29 (м. Мичуринский проспект,Раменки)","ГБУЗ ""ГП № 209 ДЗМ""",т.:84959322027,"пн-пт 08:00-20:00, сб 09:00-18:00, вс 09:00-16:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://gp209.ru/,4.5
"г Москва, ул Яузская, д.11 (м. Марксистская,Таганская)",ГБУЗ « ГКБ им. И.В. Давыдовского ДЗМ»,т.:84993900323,"пн 07:30-18:00, вт 07:30-20:00, ср07:30-18:00, чт 07:30-20:00, пт 07:30-18:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники; Экстренная стационарная помощь,https://gkb-23.ru/,4.9
"г Москва, Ленинградский пр-кт, д.18А (м.Аэропорт,Петровский парк)",ГБУЗ «Городская поликлиника № 62 ДЗМ»,т.:84991524140,"пн-пт 08:00-20:00, сб 09:00-15:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,,4.5
"г Москва, ул Куусинена, д.6Б",ГБУЗ «Городская поликлиника № 62 ДЗМ»,т.:84991524140,пн-пт 08:00-20:00,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,,4.5
"г Москва, ул Заморёнова, д.27 (м. Краснопресненская,Улица 1905 года)",ГБУЗ «Городская поликлиника №220 ДЗМ»,т.:8499 2550002,"пн-пт 08:00-20:00, сб 09:00-18:00, вс 09:00-16:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,http://gp220.ru/,4.6
"г Москва, ул 3-я Карачаровская, д.11",ГБУЗ города Москвы «Диагностический центр № 3 Департамента здравоохранения города Москвы»,т.:84956383650,"пн-пт 08:00-20:00, сб 09:00-18:00, вс 09:00-15:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,,4.4
"г Москва, ул Верхняя Хохловка, д.2, корп.1",ГБУЗ города Москвы «Диагностический центр № 3 Департамента здравоохранения города Москвы»,т.:84956383650,"пн-пт 09:00-20:00, сб 09:00-18:00, вс 09:00-15:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,,4.4
"г Москва, ул Михайлова, д.33",ГБУЗ города Москвы «Диагностический центр № 3 Департамента здравоохранения города Москвы»,т.:84956383650,"пн-пт 08:00-20:00, сб 09:00-18:00, вс 09:00-15:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,,4.4
"г Москва, ул Сормовская, д.9 (м. Выхино,Рязанский проспект)",ГБУЗ города Москвы «Диагностический центр № 3 Департамента здравоохранения города Москвы»,т.:84951220221,пн-пт 08:00-20:00,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,,4.4
"г Москва, Юрьевский пер, д.13",ГБУЗ города Москвы «Диагностический центр № 3 Департамента здравоохранения города Москвы»,т.:84956383650,"пн-пт 08:00-20:00, сб 09:00-18:00, вс 09:00-15:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,,4.4
"Московская обл, г Луховицы, ул Мира, д.39/5",ГБУЗ Московской области «Луховицкая больница»,т.:89164979724,"пн-пт 07:30-20:00, сб 08:00-14:00, вс 09:00-13:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,,4.4
"г Москва, шоссе Энтузиастов, д.42 (м. Шоссе Энтузиастов)",ГКУ «Центральная поликлиника ФТС России»,"т.:84952764223, 84952764224",пн-пт 08:00-20:00,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://www.policlinika-fts.ru/,4.7
"г Москва, Большой Головин пер, д.4 (м.Трубная,Цветной бульвар)","ЗАО ""Клиника современных медицинских технологий""",т.:84993704985,круглосуточно,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://kst27.ru/,5.0
"г Москва, ул Высокая, д.19, корп.2 (м. Коломенская,Технопарк)",ЗАО «МЦК»,т.:8 4957253143,пн-вс 08:00-21:00,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,,
"Московская обл, г Чехов, ул Земская, д.2",ЗАО «МЦК»,"т.:8 495 7253143 , 8 496 7279713, 8 496 7279714, 8 905 7314841","пн-пт 08:00-20:00, сб 08:00-19:00, вс 09:00-17:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,,
"Московская обл, г Электрогорск, ул Буденного, д.1",ЗАО «ЭКОЛАБ»,"т.:89099921558, 88003333347, 84964332139",пн-вс 08:00-20:00,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,,4.6
"г Москва, ул Перерва, д.39 (м. Братиславская,Марьино)",ИММА: ООО «Медицинские Центры-2»,т.:8495 7872646,пн-вс 09:00-21:00,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,,5.0
"г Москва, ул Маршала Катукова, д.24, корп.5 (м.Спартак,Строгино)",ИММА: ООО «Медицинские центры-5»,т.:8495 5361999,пн-вс 09:00-21:00,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,,
"Москва, Мытищинская 3-я ул, д.14А (м.Алексеевская,Рижская)",ИММА: ООО «Медицинские центры»,т.:8495 7716991,пн-вс 09:00-21:00,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,,4.7
"г Москва, ул Образцова, д.11, корп.2 (м.Достоевская,Марьина роща)",Медицинское частное учреждение «Медицинский центр «Рамбам»,т.:84956632355,"пн-чт 08:00-20:00, пт 08:00-15:00, вс 08:00-19:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://rimc-rambam.ru/,4.9
"Московская обл, г Волоколамск, Рижское шоссе, д.41",МУЗ «Волоколамская центральная районная больница»,т.:+7 49636 21380,"пн-пт 08:00-20:00, сб 08:00-13:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,,3.9
"Московская обл, г Воскресенск, г Воскресенск, ул Железнодорожная, д. 2а","Общество с ограниченной ответственностью ""ЦЕНТР МЕДИЦИНЫ ТРУДА ВОСКРЕСЕНСК""",т.:4964414141,пн-пт 09:00-17:00,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://voskresensk.cmtmc.ru/,4.9
"г Москва, ул Донская, д.11, корп.2 (м. Октябрьская,Шаболовская)","ООО ""ВИТБИОМЕД +""",т.:7 495 1524441,пн-вс 09:00-18:00,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://vitbiomedplus.ru/voprosy-otvety,4.9
"г Москва, ул Долгоруковская, д.17, корп.1 (м.Менделеевская, Новослободская)","ООО ""Клиника Фомина Долгоруковская""","т.:79251285448 , 8 499 4448531",пн-пт 08:00-21:00,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники; Экстренная стационарная помощь,https://fomin-clinic.ru/,5.0
"г Москва, Мичуринский пр-кт, д.15А (м.Ломоносовский проспект,Раменки)","ООО ""Клиника Фомина Мичуринский""","т.:8 499 4443160 , , 8 926 851 1821","пн-пт 08:00-21:00, сб 09:00-20:00, вс 10:00-19:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники; Экстренная стационарная помощь,https://fomin-clinic.ru/,5.0
"г Москва, ул Барклая, д.13, корп.2 (м. Багратионовская,Филёвский парк)","ООО ""МЕД СИТИ""",т.:84951503388,"пн-пт 08:00-21:00, сб 09:00-18:00, вс 09:00-15:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,,5.0
"Московская обл, г Павловский Посад, г Павловский Посад, ул Каляева, д.3","ООО ""МЕДИАЛ""","т.:84964324409, 89060410405, 89261396031","пн-пт 08:00-20:00, сб 08:00-20:00, вс 08:00-18:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://idealclinic.ru/,4.9
"г Москва, Марьинский б-р, д.4 (м. Братиславская,Марьино)","ООО ""Медицина столицы""",т.:8 495 3479491,"пн-пт 08:00-20:00, сб 08:00-20:00, вс 09:00-18:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://stoclinic.ru/,4.9
"г Москва, ул Крутицкий Вал, д.26, корп.1 (м.Крестьянская Застава, Пролетарская)","ООО ""Медицинский центр ""Поликлиника.ру""",т.:84956498878,пн-вс 08:00-22:00,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://polyclinika.ru/,4.9
"г Москва, Каширское шоссе, д.74, корп.1 (м.Кантемировская, Каширская)","ООО ""Медквадрат-Куркино""",т.:8495 2680404,"пн-пт 08:00-21:00, сб 09:00-18:00, вс 10:00-16:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://medkvadrat.ru/clinic/kurkino_mature,4.8
"г Москва, ул Ландышевая, д.14, корп. 1 (м.Планерная,Пятницкое шоссе)","ООО ""Медквадрат-Куркино""",т.:8495 2680404,"пн-пт 09:00-21:00, сб 10:00-18:00, вс 10:00-16:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://medkvadrat.ru/clinic/kurkino_mature,4.8
"Москва, Воротынская ул, д.4 (м. Планерная,Пятницкое шоссе)","ООО ""Медквадрат-Куркино""",т.:8495 2680404,"пн-пт 08:00-21:00, сб 09:00-20:00, вс 10:00-18:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://medkvadrat.ru/clinic/kurkino_mature,4.8
"г Москва, ул Нижегородская, д.2, корп.1 (м.Крестьянская Застава, Пролетарская)","ООО ""ФЭМИЛИ КЛИНИКА""",,,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://mcgd.ru/,4.9
"г Москва, ул Мурановская, д.5 (м. Алтуфьево,Бибирево)","ООО ""Юни Медика""",т.:84959001010,"пн-пт 08:00-21:00, сб 08:00-21:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники; Экстренная стационарная помощь,https://unimedica.pro/,4.8
"г Москва, ул Псковская, д.9, корп.1 (м. Алтуфьево,Бибирево)",ООО « Институт медико-социальных технологий и реабилитационной индустрии»,"т.:84999408105, 89852601566",,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,,4.1
"г Москва, Плетешковский пер, д.4 (м. Бауманская,Красносельская)",ООО «АВСМЕДИЦИНА»,т.:+ 7 495 2233883,"пн-пт 08:00-22:00, сб-вс 09:00-21:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://abc-medicina.com/,4.8
"г Москва, поселок Коммунарка, поселение Сосенское, ул Липовый парк, д.5, корп.1 (м.Бунинская аллея, Улица Горчакова)",ООО «АВСМЕДИЦИНА»,т.:8 495 2233883,"пн-пт 08:00-22:00, сб-вс 09:00-20:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://abc-medicina.com/,4.8
"г Москва, пр-кт Андропова, д.42, корп.1 (м.Каширская,Коломенская)",ООО «АВСМЕДИЦИНА»,т.:84952233883,"пн-пт 08:00-22:00, сб-вс 09:00-21:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://abc-medicina.com/,4.8
"г Москва, пр-кт Вернадского, д.33 (м. Проспект Вернадского,Раменки)",ООО «АВСМЕДИЦИНА»,т.:8 495 2233883,"пн-пт 08:00-22:00, сб-вс 09:00-21:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://abc-medicina.com/,4.8
"г Москва, ул 1905 года, д.17 (м. Беговая,Улица 1905 года)",ООО «АВСМЕДИЦИНА»,т.:+ 7 495 2233883,"пн-пт 08:00-22:00, сб-вс 09:00-21:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://abc-medicina.com/,4.8
"г Москва, ул Каргопольская, д.13, корп.1",ООО «АВСМЕДИЦИНА»,т.:84952233883,"пн-пт 08:00-22:00, сб-вс 08:00-21:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://abc-medicina.com/,4.8
"г Москва, ул Льва Толстого, д.10, корп.1 (м.Парк культуры)",ООО «АВСМЕДИЦИНА»,т.:+ 7 495 2233883,"пн-пт 08:00-22:00, сб-вс 09:00-21:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://abc-medicina.com/,4.8
"г Москва, ул Митинская, д.28",ООО «АВСМЕДИЦИНА»,т.:84952233883,"пн-пт 08:00-22:00, сб-вс 08:00-21:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://abc-medicina.com/,4.8
"г Москва, ул Мичуринский проспект. Олимпийская деревня, д.1, корп.4",ООО «АВСМЕДИЦИНА»,т.:84952233883,,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://abc-medicina.com/,4.8
"г Москва, ул Намёткина, д.17/68б",ООО «АВСМЕДИЦИНА»,т.:84952233883,"пн-пт 08:00-22:00, сб-вс 08:00-21:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://abc-medicina.com/,4.8
"г Москва, ул Пырьева, д.9, корп.3",ООО «АВСМЕДИЦИНА»,т.:84952233883,"пн-пт 08:00-21:00, сб-вс 08:00-20:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://abc-medicina.com/,4.8
"г Москва, ул Столетова, д.19 (м. Ломоносовский проспект,Раменки)",ООО «АВСМЕДИЦИНА»,т.:8 495 2233883,"пн-пт 08:00-22:00, сб-вс 09:00-21:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://abc-medicina.com/,4.8
"г Москва, Чистопрудный б-р, д.12, корп.2 (м.Тургеневская,Чистые пруды)",ООО «АВСМЕДИЦИНА»,т.:+74952233883,"пн-пт 08:00-22:00, сб-вс 09:00-21:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://abc-medicina.com/,4.8
"Московская обл, г Балашиха, Горенский б-р, д.3А",ООО «АВСМЕДИЦИНА»,т.:+ 7 495 2233883,"пн-пт 08:00-22:00, сб-вс 09:00-21:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://abc-medicina.com/,4.8
"Московская обл, г Красногорск, Подмосковный б-р, д.11 (м. Волоколамская,Мякинино)",ООО «АВСМЕДИЦИНА»,т.:8 495 2233883,"пн-пт 08:00-22:00, сб-вс 09:00-21:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://abc-medicina.com/,4.8
"Московская обл, г Красногорск, ул Новоархангельская, д.1",ООО «АВСМЕДИЦИНА»,т.:84952233883,"пн-пт 09:00-21:00, сб 09:00-21:00, вс 10:00-18:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://abc-medicina.com/,4.8
"Московская обл, г Одинцово, село Ромашково, г Одинцово, ул Никольская, д.10",ООО «АВСМЕДИЦИНА»,т.:8 495 2233883,"пн-пт 08:00-22:00, сб-вс 09:00-21:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://abc-medicina.com/,4.8
"Москва, Габричевского ул, д.5, корп.2 (м.Спартак,Щукинская)",ООО «Алмаз – Медицина»,т.:8 499 6540003,,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://almaz-antey.clinic/,4.3
"г Москва, Подсосенский пер, д.17 (м. Курская,Чкаловская)",ООО «ВЕСТ-ТЕХ»,"т.:84956282205, 84956283937",пн-вс 08:00-22:00,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://ves-teh.ru/,5.0
"г Москва, ул Маросейка, д.2/15, корп. 1 (м.Китай-город)",ООО «ВЕСТ-ТЕХ»,"т.:84956282205, 84956283937",пн-вс 08:00-20:00,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://ves-teh.ru/,5.0
"г Москва, Бескудниковский б-р, д.8, корп.1 (м.Верхние Лихоборы, Селигерская)",ООО «Восстановительная медицина»,т.:8 977 392 00 00,пн-вс 10:00-20:00,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,http://www.vvmr.ru/,4.3
"г Москва, Комсомольский пр-кт, д.32 (м.Спортивная,Фрунзенская)",ООО «ДОКМЕД»,,,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://docmed.ru/,5.0
"г Москва, ул Маршала Бирюзова, д.4, корп.1 (м.Зорге,Октябрьское поле)",ООО «ДОКМЕД»,т.:84951509951,пн-вс 08:00-21:00,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://docmed.ru/,5.0
"г Москва, ул Петра Алексеева, д.14, оф.23Н",ООО «ДОКМЕД»,т.:84991509951,пн-вс 09:00-21:00,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://docmed.ru/,5.0
"г Москва, ул Трубная, д.35, оф.1 (м. Сухаревская,Цветной бульвар)",ООО «ДОКМЕД»,т.:84951509951,пн-вс 08:00-21:00,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники; Экстренная стационарная помощь,https://docmed.ru/,5.0
"Московская обл, г Подольск, мкр Климовск, ул Симферопольская, д.39а",ООО «Жемчужина Подолья»,"т.:84997058656, 84994003533",пн-вс 08:00-20:00,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://podolskclinic.ru/,4.9
"Московская обл, г Подольск, мкр Львовский, ул Горького, д.17",ООО «Жемчужина Подолья»,т.:84997058656,пн-вс 08:00-20:00,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://podolskclinic.ru/,4.9
"Московская обл, г Подольск, ул Большая Серпуховская, д.47, оф.2",ООО «Жемчужина Подолья»,"т.:84997058656, 84994003533","пн-пт 08:00-20:00, сб-вс 08:00-20:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://podolskclinic.ru/,4.9
"Московская обл, г Подольск, ул Комсомольская, д.28",ООО «Жемчужина Подолья»,т.:84997058656,пн-вс 08:00-20:00,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://podolskclinic.ru/,4.9
"Московская обл, г Подольск, ул Февральская, д.50",ООО «Жемчужина Подолья»,"т.:84997058656, 84994003533",пн-вс 08:00-20:00,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://podolskclinic.ru/,4.9
"Московская обл, г Бронницы, Марьинский пер, д.1",ООО «Иммунитет»,"т.:84954800101, 89857180202, 84959260599",пн-вс 07:00-20:00,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://iimmun.ru/index.php/iimm/index/index/ru_RU,4.8
"г Москва, пр-кт Мира, д.105, корп.1 (м.Алексеевская,ВДНХ)",ООО «К медицина»,т.:84951200810,"пн-пт 08:00-22:00, сб-вс 08:00-21:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://k-medica.ru/,4.8
"г Москва, Дмитровское шоссе, д.81, оф.3/2 (м.Верхние Лихоборы, Селигерская)",ООО «КДС»,т.:8 495 1210403,пн-вс 08:00-21:00,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,,4.3
"г Москва, Гамсоновский пер, д.2, корп.6",ООО «Клиника Будь Здоров»,т.:84950098882,"пн-пт 08:00-21:00, сб-вс 09:00-18:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://klinikabudzdorov.ru/,5.0
"г Москва, Неманский пр-д, д.13, корп. 2",ООО «Клиника Будь Здоров»,т.:84950098882,,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://klinikabudzdorov.ru/,5.0
"г Москва, Рязанский пр-кт, д.2Б (м. Андроновка,Нижегородская)",ООО «Клиника Будь Здоров»,т.:8495 009 88 82,пн-вс 07:30-21:00,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники; Экстренная стационарная помощь,https://klinikabudzdorov.ru/,5.0
"г Москва, ул Рочдельская, д.15, корп. 35 (м.Краснопресненская,Улица 1905 года)",ООО «Клиника Будь Здоров»,т.:8495 009 88 82,,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://klinikabudzdorov.ru/,5.0
"Московская обл, г Балашиха, мкр Гагарина, д.18, оф.86",ООО «Клиника Доктора Савилова»,"т.:88001018764, 89688912909","пн-пт 08:00-21:00, сб-вс 08:00-21:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://savilov-clinic.ru/,2.0
"г Москва, Ленинский пр-кт, д.67, корп.2 (м.Академическая, Университет)",ООО «Клиника на Ленинском»,т.:+7 495 6680986,"пн-пт 07:30-20:00, сб-вс 09:00-18:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://klinika-na-leninskom.ru/,
"г Москва, Пестовский пер, д.16, корп. 1 (м.Марксистская,Таганская)",ООО «Клиника Профессиональной Медицины»,т.:+7 495 638 50 53,пн-пт 08:00-17:00,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,,4.7
"г Москва, ул Мясницкая, д.13, корп.13 (м.Тургеневская,Чистые пруды)",ООО «Клиника Центральная»,т.:8495 6440026,пн-вс 08:00-21:00,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://lit-clinic.ru/,5.0
"Московская обл, г Клин, г Клин, ул Карла Маркса, д.101",ООО «КлиНика»,"т.:84962499686, 84962499687",пн-вс 08:00-20:00,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://fomin-clinic.ru/,4.7
"Московская обл, г Солнечногорск, ул Красная, д.56",ООО «КлиНика»,т.:84962499687,,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://fomin-clinic.ru/,4.7
"г Москва, ул 1-я Брестская, д.13/14 (м. Маяковская,Тверская)",ООО «КМ-МЕД центр»,"т.:495 6264757, 6264765",,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://kmmedcenter.com/,5.0
"г Москва, ул Партизанская, д.41 (м. Крылатское,Молодежная)",ООО «Концерн «МОСКВИА ГРУПП»,т.:8 495 4199878 8 495 4781003,,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,,5.0
"Московская обл, г Королёв, ул Калинина, д.6А",ООО «КОРОЛЕВ МЕДИЦИНА»,т.:84994330771,"пн-пт 08:00-20:00, сб 08:00-20:00, вс 09:00-18:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://medmente.ru/,4.8
"г Москва, ул Новаторов, д.16",ООО «Лайф Клиник»,т.:84956461302,"пн-пт 08:00-20:00, сб 08:00-20:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://lifeclinics.ru/,
"Москва, Зеленоград, Савёлкинский проезд, д.4",ООО «Леконс»,т.:88002345834,пн-вс 08:00-21:00,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,http://lekons.com/,4.1
"г Москва, г Зеленоград, д.1130",ООО «Лечебно-диагностический медицинский центр «АКСИС»,т.:+7 499 2140000,"пн-пт 07:00-21:00, сб-вс 09:00-18:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://aksis-med.ru/,5.0
"г Москва, ул Давыдковская, д.5 (м. Пионерская,Славянский бульвар)",ООО «Лечебно-диагностический центр «Кутузовский»,т.:8 495 4781003,пн-вс 08:00-21:00,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://www.ldck.ru/,4.6
"г Москва, Зубовский б-р, д.16, корп.20 стр 1 (м.Парк культуры)",ООО «Лечебный центр»,т.:84957864525,"пн-пт 07:30-21:30, сб-вс 08:00-21:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://lcenter.ru/,4.7
"г Москва, ул Россолимо, д.5/22, корп. 1 (м.Парк культуры,Фрунзенская)",ООО «Лечебный центр»,т.:84957864525,"пн-пт 07:30-21:30, сб-вс 08:00-21:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://lcenter.ru/,4.7
"Москва, Тимура Фрунзе ул, д.15/1 (м. Парк культуры)",ООО «Лечебный центр»,т.:84957864525,"пн-пт 07:30-21:30, сб-вс 08:00-21:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://lcenter.ru/,4.7
"г Москва, пр-кт Мира, д.39, корп.1 (м. Алексеевская,ВДНХ)",ООО «ЛиМ» ( ООО «Открытая Клиника»),т.:84952553737,"пн-пт 08:00-21:00, сб-вс 09:00-20:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://limestore.com/ru_ru,5.0
"г Москва, ул 1905 года, д.7, корп.1 (м. Автово,Митино,Покровское-Стрешнево)",ООО «ЛиМ» ( ООО «Открытая Клиника»),т.:84952553737,"пн-пт 08:00-21:00, сб-вс 09:00-20:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://limestore.com/ru_ru,5.0
"г Москва, ул 1905 года, д.7, корп.1 (м. Краснопресненская,Улица 1905 года)",ООО «ЛиМ» ( ООО «Открытая Клиника»),т.:84952553737,"пн-пт 08:00-21:00, сб-вс 09:00-20:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://limestore.com/ru_ru,5.0
"Московская обл, Балашиха г/Саввино мкр, 1 Мая ул, д.2, корп.1",ООО «Мед Гарант»,"т.:7 495 3696091, 7 495 3696092, 7 495 1818515","пн-пт 07:30-21:00, сб 08:00-20:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://medgarant.info/,5.0
"г Москва, г Московский, мкр 1-й, поселение Московский, д.23Г",ООО «Мед-сервис»,т.:7 495 5405949,"пн-пт 08:00-20:00, сб 08:00-20:00, вс 09:00-18:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,http://medservice.info/,4.2
"г Москва, г Московский, поселение Московский, ул Московская, д.1",ООО «Мед-сервис»,,,Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,http://medservice.info/,4.2
"Московская обл, г Солнечногорск, ул Крестьянская, д.12",ООО «Медики»,т.:84959940898,"пн-пт 08:00-21:00, сб 08:00-21:00, вс 09:00-20:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://old.волонтеры-медики.рф/,4.7
"г Москва, ул Кржижановского, д.2/21 (м.Академическая,Профсоюзная)",ООО «Медико-оздоровительный центр Южный»,,"пн-пт 09:00-20:00, сб-вс 09:00-17:00",Амбулаторно-поликлиническое обслуживание; Запись на приём по телефону клиники,https://yuzhny.ru/,4.7
